Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,30 - 34,07-Aug,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Considerably,High quality,5,2,10,3,7,6,1,4,8,9,Very clear,"Yes, frequently",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Always,Means of transport ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, Partially",Yes,Table banking ,Somewhat effective,2,1,4,3,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Primary,Standardized government curriculum,,,,,,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,"HIV, TB and Malaria",,Always,,"HIV, TB and Malaria",,,WASH,,,,WASH,,Yes,Slightly,High quality,1,2,4,3,5,6,7,9,10,8,Very clear,Rarely,Fair,Agree,Monthly,,,,,,Village hopecore international,Adequate,Always,Some chips have very many households,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,,Phone,,,,,,None,Yes,Table banking,Not so effective,1,5,3,2,4,,Activity reporting forms,,,,No,Monthly,Excellent,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,09-Oct,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,Integrated Community Case Management,,,"HIV, TB and Malaria",,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,,,Community engagement,,No,Moderately,High quality,1,2,3,4,5,6,8,7,9,10,Very clear,Rarely,Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Inadequate,Sometimes,Luck of bp battery and strip for diabetics ,Volunteer,"No, i do not receive",,,,,,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,09-Oct,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,,"HIV, TB and Malaria",,,WASH,,,,WASH,,Yes,Not at all,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Certificate),NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Non communicable diseases (NCDs),,Yes,Moderately,High quality,2,3,1,4,5,6,7,8,9,10,Very clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,Community health focal persons,,,,Adequate,Sometimes,We don't have enough tools ,Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,No,,,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,No,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",,,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,WASH,,Yes,Moderately,Neither high nor low quality,1,2,6,5,7,10,8,3,9,4,Somewhat clear,Rarely,Fair,Neither agree nor disagree,Quarterly,,,,,I don't know,,Neutral,Sometimes,Poor health system financing limited access to healthcare ,Formal contract from the government,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,Minimal,No,,,3,5,1,2,4,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,No,Monthly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,09-Oct,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Non communicable diseases (NCDs),,No,Extremely,Very high quality,4,1,2,3,7,5,6,8,9,10,Very clear,Never,Excellent,Strongly agree,Quarterly,CHEWs/CHAs,,,,,,Very adequate,Always,Luck of bp battery and strip for diabetics ,Volunteer,"Yes, i receive regularly",,"Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,None,No,,,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Weekly,Excellent,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,Yes,Not at all,High quality,1,2,3,4,5,6,7,8,9,10,Extremely clear,Never,Excellent,Strongly disagree,Monthly,CHEWs/CHAs,,,,,Village hopecore,Very adequate,Always,Lack off network and internet connection ,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, majorly",Yes,CHP merry go round ,Somewhat effective,1,2,3,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,First. Aid. ,Non communicable diseases (NCDs),,Yes,Slightly,High quality,1,2,3,4,5,6,7,8,9,10,Very clear,Never,Good,Agree,Rarely,CHEWs/CHAs,,,,,,Adequate,Rarely,Never been issued with commodities and we have first aid kit but never been trained on items in it,Letter of assignment,"Yes, i receive regularly",,"Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,Minimal,No,,,1,2,3,4,5,,,Digital tools (eCHIS),,,No,Monthly,Poor,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",,,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,WASH,,Yes,Moderately,Neither high nor low quality,1,2,6,5,8,10,9,3,7,4,Somewhat clear,Rarely,Good,Agree,Quarterly,,,,,I don't know,,Neutral,Sometimes,Poor health system financing limited access to healthcare ,Formal contract from the government,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,Minimal,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Tertiary (Diploma),NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,It's good to keep on having refresher trainings trainings for us to work,Non communicable diseases (NCDs),,Yes,Slightly,High quality,3,1,2,4,5,7,6,8,9,10,Very clear,Never,Good,Strongly agree,Rarely,CHEWs/CHAs,,,,,,Adequate,Rarely,Like. For us we have. Never been. Issued. With. Commodities and,Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,,,Minimal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,03-Apr,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,,Community Nutrition,,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,Data management and digital reporting,,No,Considerably,High quality,1,2,4,5,6,7,3,8,9,10,Very clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,,,,,Adequate,Usually,Delaying of stock when its over ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,,Phone,,,,Training opportunities,,"Yes, majorly",No,,,1,2,3,4,5,MOH registers,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",,,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,WASH,,Yes,Moderately,Neither high nor low quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Other (please specify),First aid,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,First. Aid. ,Non communicable diseases (NCDs),,Yes,Slightly,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,03-Apr,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,,Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Moderately,Neither high nor low quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,07-Aug,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Other (please specify),First aid,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Extremely,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Mental Health,,Yes,Considerably,High quality,1,2,3,4,6,10,5,9,7,8,Very clear,Not sure what is outside my scheme of service,Fair,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Always,"Rainfalls ,transport ,",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,None,Yes,"Table banking, merry-go-round",Somewhat effective,2,1,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Bi-weekly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
